tomo_name,z_min,z_max,slice_0,slice_1,slice_2,slice_3,slice_4
20200811_ipsc_q109_square01_tomo08_bin4_filtered_large_granules.hdf,40,115,58,69,80,91,102
20200811_ipsc_q109_square01_tomo10_ab_crisdate_bin4_filtered.hdf,0,130,35,52,70,88,105
20200811_ipsc_q109_square01_tomo11_bin4_filtered_abnorma_cisdate.hdf,0,140,35,55,75,95,115
ipsc_q109_square13_tomo35_bin4_filtered_ab_crisdate.hdf,20,105,30,44,58,72,86
ipsc_q109_square13_tomo36_bin4_filtered_health_mito.hdf,5,90,25,35,45,55,65
ipsc_q109_square13_tomo37_bin4_filtered_ab_crisdate.hdf,10,70,25,32,39,46,53
ipsc_q109_square14_tomo29_bin4_filtered_large_granules.hdf,20,110,45,56,67,78,89
ipsc_q109_square14_tomo30_bin4_filtered_karge_granule.hdf,25,110,37,53,69,85,101
ipsc_q109_square14_tomo31_bin4_filtered_large_granule.hdf,20,85,35,43,51,59,67
ipsc_q109_square14_tomo32_bin4_filtered_health_mito.hdf,20,100,37,49,61,73,85
ipsc_q109_square14_tomo33_bin4_filtered_large_granules.hdf,20,90,33,44,55,66,77
ipsc_q109_square15_tomo15_healthy_mitochondria_bin4_filtered_health_miitochondria.hdf,30,132,46,61,76,91,106
ipsc_q109_square15_tomo16_large_granules_bin4_filtered_large_granules.hdf,15,130,45,57,69,81,93
ipsc_q109_square15_tomo17_bin4_filtered_health_mitochondria.hdf,45,160,80,90,100,110,120
ipsc_q109_square15_tomo18_bin4_filtered_ab_crisdate.hdf,20,100,40,51,62,73,84
ipsc_q109_square15_tomo19_bin4_filtered_granules.hdf,25,155,72,84,96,108,120
ipsc_q109_square15_tomo20_bin4_filtered_large_granules.hdf,5,105,24,39,54,69,84
ipsc_q109_square15_tomo21_bin4_filtered_large_granules.hdf,35,150,60,75,90,105,120
ipsc_q109_square15_tomo22_bin4_filtered_ab_crisdate_large_granules.hdf,20,115,32,47,62,77,92
ipsc_q109_square15_tomo23_bin4_filtered_ab_crisdate.hdf,0,90,20,32,44,56,68
ipsc_q109_square15_tomo24_bin4_filtered_ab_crisdate.hdf,15,85,30,40,50,60,70
ipsc_q109_square15_tomo25_bin4_filtered_large_granules_ab_crisdate.hdf,15,95,30,41,52,63,74
ipsc_q109_square15_tomo26_bin4_filtered_ab_crisdate.hdf,20,120,43,58,73,88,103
ipsc_q109_square15_tomo27_bin4_filtered_large_granuels_ab_crisdate.hdf,5,95,30,40,50,60,70
ipsc_q109_square16_tomo13_bin4_filtered_large_greanules.hdf,10,125,40,53,66,79,92
ipsc_q109_square18_tomo07_bin4_filtered_large_granules_hairball.hdf,10,140,65,75,85,95,105
ipsc_q109_square18_tomo08_bin4_filtered_ab_crisdate.hdf,10,145,40,60,80,100,120
ipsc_q109_square18_tomo09_bin4_filtered_ab_crisdate_good.hdf,10,185,60,80,100,120,140
ipsc_q109_square19_tomo02_bin4_filtered_hairball.hdf,20,145,65,75,85,95,105
ipsc_q109_square19_tomo03_bin4_filtered_ab_crisdate.hdf,25,110,46,56,66,76,86
ipsc_q109_square19_tomo04_bin4_filtered_ab_crisdate.hdf,10,120,44,55,66,77,88
ipsc_q109_square19_tomo05_bin4_filtered_ab_crisdate.hdf,25,140,52,69,86,103,120
ipsc_q109_square19_tomo06_bin4_filtered_ab_cresdate.hdf,20,170,54,72,90,108,126
