tomo_name,z_min,z_max,slice_0,slice_1,slice_2,slice_3,slice_4
20210424_Q66_ipdc_tomo00007__bin4_large_granules_preproc.hdf,25,120,60,72,84,96,108
20210427_Q66_ipdc_grid2_tomo00005__bin4_large_granules_preproc.hdf,25,100,40,50,60,70,80
20210427_Q66_ipdc_grid2_tomo00009__bin4_large_granules_preproc.hdf,0,100,25,37,49,61,73
20210427_Q66_ipdc_grid2_tomo00010__bin4_large_granules_preproc.hdf,10,100,40,48,56,64,72
20210427_Q66_ipdc_grid2_tomo00016__bin4_health_mitochondria_preproc.hdf,55,120,73,81,89,97,105
20210427_Q66_ipdc_grid2_tomo00018__bin4_large_granule_good_preproc.hdf,5,110,30,42,54,66,78
20210427_Q66_ipdc_grid2_tomo00019__bin4_large_granules_preproc.hdf,20,95,35,45,55,65,75
20210427_Q66_ipdc_grid2_tomo00020__bin4_large_granules_preproc.hdf,20,100,40,50,60,70,80
20210427_Q66_ipdc_grid2_tomo00028__bin4_large_granules_preproc.hdf,45,128,70,80,90,100,110
20210427_Q66_ipdc_grid2_tomo00030__bin4_large_granules_preproc_good.hdf,30,128,50,65,80,95,110
