tomo_name,z_min,z_max,slice_0,slice_1,slice_2,slice_3,slice_4
20200527_Q20_redo_tomo00041_bin4_filtered.hdf,20,120,40,55,70,85,100
20200527_Q20_redo_tomo00045_bin4_filtered.hdf,30,130,55,70,85,100,115
20200527_Q20_redo_tomo00049_bin4_filtered.hdf,12,80,22,34,46,58,70
20200527_Q20_redo_tomo00050_bin4_filtered.hdf,0,83,15,30,45,60,75
20200527_Q20_redo_tomo00052_bin4_filtered.hdf,20,120,40,56,72,88,104
20200527_Q20_tomo00020_bin4_filtered.hdf,10,110,35,49,63,77,91
20200527_Q20_tomo00021_bin4_filtered.hdf,20,100,40,51,62,73,84
20200527_Q20_tomo00022_bin4_filtered.hdf,15,90,30,40,50,60,70
20200527_Q20_tomo00023_bin4_filtered.hdf,5,108,30,45,60,75,90
20200527_Q20_tomo00024_bin4_filtered.hdf,10,100,26,39,52,65,78
20200527_Q20_tomo00030_bin4_filtered.hdf,12,127,34,48,62,76,90
20200527_Q20_tomo00031_bin4_filtered.hdf,10,115,30,45,60,75,90
20200527_Q20_tomo00032_bin4_filtered.hdf,2,80,12,26,40,54,68
20200527_Q20_tomo00033_bin4_filtered.hdf,4,101,20,35,50,65,80
20200527_Q20_tomo00034_bin4_filtered.hdf,15,135,30,50,70,90,110
20200527_Q20_tomo00035_bin4_filtered.hdf,30,100,45,55,65,75,85
20200527_Q20_tomo00036_bin4_filtered.hdf,15,105,30,45,60,75,90
20200527_Q20_tomo00037_bin4_filtered.hdf,70,160,90,101,112,123,134
20200527_Q20_tomo00038_bin4_filtered.hdf,8,100,30,40,50,60,70
20200527_Q20_tomo00039_bin4_filtered.hdf,5,110,30,45,60,75,90
